date;lat;lon;alt;speed
2025-10-14 18:03:04;2,1 S;114,7 W;418 km;27581 km/h
2025-10-14 18:03:49;0,1 N;113,1 W;418 km;27582 km/h
2025-10-14 18:04:34;2,4 N;111,5 W;417 km;27583 km/h
2025-10-14 18:05:19;4,7 N;109,9 W;417 km;27584 km/h
2025-10-14 18:06:04;6,9 N;108,2 W;417 km;27585 km/h
2025-10-14 18:06:49;9,2 N;106,6 W;417 km;27586 km/h
2025-10-14 18:07:35;11,5 N;104,9 W;417 km;27587 km/h
2025-10-14 18:08:20;13,8 N;103,2 W;417 km;27587 km/h
2025-10-14 18:09:05;16,0 N;101,4 W;417 km;27588 km/h
2025-10-14 18:09:50;18,2 N;99,6 W;417 km;27588 km/h
2025-10-14 18:10:35;20,4 N;97,8 W;418 km;27589 km/h
2025-10-14 18:11:20;22,6 N;95,9 W;418 km;27589 km/h
2025-10-14 18:12:05;24,8 N;93,9 W;418 km;27589 km/h
2025-10-14 18:12:50;26,9 N;91,9 W;418 km;27590 km/h
2025-10-14 18:13:35;29,0 N;89,8 W;419 km;27590 km/h
2025-10-14 18:14:20;31,0 N;87,5 W;419 km;27590 km/h
2025-10-14 18:15:05;33,0 N;85,2 W;419 km;27590 km/h
2025-10-14 18:15:51;35,0 N;82,8 W;420 km;27590 km/h
2025-10-14 18:16:36;36,8 N;80,2 W;420 km;27590 km/h
2025-10-14 18:17:21;38,7 N;77,5 W;421 km;27589 km/h
2025-10-14 18:18:06;40,4 N;74,7 W;421 km;27589 km/h
2025-10-14 18:18:51;42,0 N;71,7 W;421 km;27589 km/h
2025-10-14 18:19:36;43,6 N;68,5 W;422 km;27589 km/h
2025-10-14 18:20:21;45,1 N;65,2 W;422 km;27589 km/h
2025-10-14 18:21:06;46,4 N;61,7 W;422 km;27589 km/h
2025-10-14 18:21:51;47,6 N;58,0 W;423 km;27589 km/h
2025-10-14 18:22:36;48,7 N;54,1 W;423 km;27588 km/h
2025-10-14 18:23:21;49,6 N;50,1 W;423 km;27588 km/h
2025-10-14 18:24:07;50,4 N;45,9 W;423 km;27588 km/h
2025-10-14 18:24:52;51,0 N;41,6 W;423 km;27588 km/h
2025-10-14 18:25:37;51,4 N;37,2 W;423 km;27588 km/h
2025-10-14 18:26:22;51,7 N;32,7 W;424 km;27588 km/h
2025-10-14 18:27:07;51,7 N;28,2 W;424 km;27588 km/h
2025-10-14 18:27:52;51,6 N;23,7 W;423 km;27588 km/h
2025-10-14 18:28:37;51,3 N;19,3 W;423 km;27588 km/h
2025-10-14 18:29:22;50,8 N;14,9 W;423 km;27588 km/h
2025-10-14 18:30:07;50,1 N;10,6 W;423 km;27588 km/h
2025-10-14 18:30:52;49,3 N;6,5 W;423 km;27588 km/h
2025-10-14 18:31:37;48,3 N;2,6 W;423 km;27589 km/h
2025-10-14 18:32:23;47,2 N;1,1 E;422 km;27589 km/h
2025-10-14 18:33:08;45,9 N;4,8 E;422 km;27589 km/h
2025-10-14 18:33:53;44,5 N;8,2 E;422 km;27589 km/h
2025-10-14 18:34:38;43,0 N;11,5 E;421 km;27589 km/h
2025-10-14 18:35:23;41,4 N;14,6 E;421 km;27589 km/h
2025-10-14 18:36:08;39,7 N;17,5 E;421 km;27590 km/h
2025-10-14 18:36:53;38,0 N;20,3 E;420 km;27590 km/h
2025-10-14 18:37:38;36,1 N;22,9 E;420 km;27590 km/h
2025-10-14 18:38:23;34,2 N;25,5 E;420 km;27590 km/h
2025-10-14 18:39:08;32,3 N;27,9 E;419 km;27590 km/h
2025-10-14 18:39:53;30,3 N;30,1 E;419 km;27590 km/h
2025-10-14 18:40:38;28,2 N;32,3 E;418 km;27590 km/h
2025-10-14 18:41:24;26,1 N;34,4 E;418 km;27590 km/h
2025-10-14 18:42:09;24,0 N;36,4 E;418 km;27590 km/h
2025-10-14 18:42:54;21,8 N;38,4 E;418 km;27589 km/h
2025-10-14 18:43:39;19,6 N;40,2 E;417 km;27589 km/h
2025-10-14 18:44:24;17,4 N;42,1 E;417 km;27589 km/h
2025-10-14 18:45:09;15,2 N;43,8 E;417 km;27588 km/h
2025-10-14 18:45:54;12,9 N;45,6 E;417 km;27588 km/h
2025-10-14 18:46:39;10,6 N;47,3 E;417 km;27587 km/h
2025-10-14 18:47:24;8,4 N;48,9 E;417 km;27586 km/h
2025-10-14 18:48:09;6,1 N;50,6 E;417 km;27585 km/h
2025-10-14 18:48:54;3,8 N;52,2 E;417 km;27584 km/h
2025-10-14 18:49:40;1,5 N;53,8 E;417 km;27583 km/h
2025-10-14 18:50:25;0,7 S;55,5 E;418 km;27582 km/h
2025-10-14 18:51:10;3,0 S;57,1 E;418 km;27581 km/h
2025-10-14 18:51:55;5,3 S;58,7 E;418 km;27580 km/h
2025-10-14 18:52:40;7,6 S;60,4 E;419 km;27578 km/h
2025-10-14 18:53:25;9,9 S;62,0 E;419 km;27577 km/h
2025-10-14 18:54:10;12,1 S;63,7 E;420 km;27576 km/h
2025-10-14 18:54:55;14,4 S;65,4 E;420 km;27574 km/h
